kalimat,hasil_label_transformer
Layanan ini saya gunakan saat sedang sibuk,Netral
Saya mengakses aplikasi pada waktu tertentu,Netral
Saya membuka aplikasi hanya untuk melihat informasi,Netral
Produk digunakan sesuai dengan fungsinya,Positif
Saya mengakses aplikasi pada waktu tertentu,Netral
Produk ini saya beli karena rekomendasi teman,Positif
Layanan ini saya gunakan saat sedang sibuk,Netral
Saya menggunakan layanan ini secara rutin,Positif
Saya memanfaatkan fitur yang tersedia di aplikasi,Positif
Saya memanfaatkan fitur yang tersedia di aplikasi,Positif
Saya hanya mencoba layanan ini sebentar,Netral
Saya hanya mencoba layanan ini sebentar,Netral
Layanan ini saya gunakan saat sedang sibuk,Netral
Aplikasi ini dipakai untuk keperluan sehari-hari,Positif
Saya menggunakan fitur utama yang tersedia,Positif
Saya hanya mencoba layanan ini sebentar,Netral
Saya memanfaatkan fitur yang tersedia di aplikasi,Positif
Saya hanya mencoba layanan ini sebentar,Netral
Layanan ini digunakan tanpa kendala berarti,Positif
Aplikasi ini dipakai untuk keperluan sehari-hari,Positif
Saya mencoba aplikasi ini untuk kebutuhan pribadi,Netral
Produk digunakan sesuai dengan fungsinya,Positif
Saya membuka aplikasi hanya untuk melihat informasi,Netral
Saya mengakses layanan ini melalui ponsel,Netral
Saya menggunakan layanan ini secara rutin,Positif
Saya membuka aplikasi hanya untuk melihat informasi,Netral
Saya mencoba aplikasi ini untuk kebutuhan pribadi,Netral
Saya hanya mencoba layanan ini sebentar,Netral
Saya membuka aplikasi untuk mengecek status,Netral
Produk ini saya beli karena rekomendasi teman,Positif
Layanan ini saya gunakan saat sedang sibuk,Netral
Saya membuka aplikasi hanya untuk melihat informasi,Netral
Saya menggunakan fitur utama yang tersedia,Positif
Saya menggunakan fitur utama yang tersedia,Positif
Saya mencoba aplikasi ini untuk kebutuhan pribadi,Netral
Produk ini saya gunakan sesuai kebutuhan,Positif
Produk digunakan sesuai dengan fungsinya,Positif
Produk ini digunakan dalam aktivitas saya,Netral
Saya mencoba layanan ini karena penasaran,Netral
Saya mengakses aplikasi pada waktu tertentu,Netral
Saya mencoba layanan ini karena penasaran,Netral
Layanan ini saya gunakan saat sedang sibuk,Netral
Produk ini saya gunakan sesuai kebutuhan,Positif
Saya hanya mencoba layanan ini sebentar,Netral
Aplikasi ini digunakan untuk tujuan tertentu,Netral
Saya mencoba layanan ini karena penasaran,Netral
Saya melakukan transaksi melalui aplikasi tersebut,Positif
Saya mengakses layanan ini melalui ponsel,Netral
Aplikasi ini digunakan untuk tujuan tertentu,Netral
Produk ini digunakan dalam aktivitas saya,Netral
Saya hanya mencoba layanan ini sebentar,Netral
Saya mencoba aplikasi ini untuk kebutuhan pribadi,Netral
Saya menggunakan layanan ini secara rutin,Positif
Aplikasi ini digunakan untuk tujuan tertentu,Netral
Produk digunakan sesuai dengan fungsinya,Positif
Saya memanfaatkan fitur yang tersedia di aplikasi,Positif
Saya mengakses layanan ini melalui ponsel,Netral
Saya mencoba layanan ini karena penasaran,Netral
Aplikasi ini digunakan untuk tujuan tertentu,Netral
Produk digunakan sesuai dengan fungsinya,Positif
Aplikasi ini saya gunakan untuk pertama kali,Netral
Aplikasi ini digunakan untuk tujuan tertentu,Netral
